index,n0,n1,result
0,0x69205572,0xabff8d14,0xd5a00d78
1,0x3f24790e,0x0c8e7eb4,0x0c371919
2,0xd25bc02b,0x3c88c051,0xcf6ac659
3,0xe439e030,0xe8114ca1,0xefffffff
4,0x3c59e3a3,0xf3f0494b,0xf0cc83cb
5,0x5fb22183,0x9d8721c6,0xbdbc0e59
6,0xc39e50a9,0x0816578f,0x8c39f2d2
7,0x3a8e2219,0xa3d71894,0x9eeed891
8,0xd486778c,0x736bab4e,0xefffffff
9,0x8d11c591,0x8eace429,0x00000000
10,0xa1351500,0xaa76be8e,0x0c2e88f7
11,0xbd40b166,0xb6f78d44,0x34ba557f
12,0x68bfad44,0xa3d986ba,0xcd22debf
13,0xd0afa4c4,0x233d797e,0xb4820000
14,0xdc481bba,0xedb19eb0,0xefffffff
15,0xea0c12c5,0xbc64c290,0x66fa565a
16,0x87391057,0x94298759,0x00000000
17,0xd1f78b47,0x25604513,0xb7d8dca9
18,0x2082a7b5,0xb08165b7,0x918414d7
19,0x37015499,0xf601a273,0xed82fb66
20,0x3188453c,0x55948c83,0x479e25a6
21,0x0e5f0bc4,0x5fe91c13,0x2ecb1a2b
22,0x0941e844,0x244b7ab0,0x00000000
23,0x90082da1,0xe700a0d2,0x3788d8b9
24,0x539dd461,0x74f2bef6,0xefffffff
25,0xf2199b34,0xb153ff02,0x63fe67de
26,0x938fbe2a,0x2209253d,0x80000005
27,0x301d6d09,0xea589ed5,0xdb0535ab
28,0xa5c36e0b,0x8b6aa903,0x00000000
29,0xd1e466ed,0x9ed3b8f7,0x313ce5db
30,0x470bafc5,0x753bfa8b,0x7ccd2435
31,0x271cf132,0xee145bec,0xd5b5e796
32,0xa32c21f7,0xb4e8ca3d,0x189c86c3
33,0x495fe5af,0x0ef83d6e,0x18d91c3b
34,0xcb10dceb,0x2220b475,0xadb5e061
35,0x9bef2393,0x1125f7f5,0x80000000
36,0xf24af312,0x199b6c5d,0xcc766e29
37,0x9cc9fd64,0x1aa9b0b4,0x80000043
38,0x10845c8e,0xb2786146,0x83806bf5
39,0xdf6f0a74,0xa7b6a9d6,0x47aa9004
40,0xc0af50e9,0xd34a572d,0x548a918b
41,0x4ba83ddb,0x6a125886,0x76405ae9
42,0x72effa3a,0x37cf05ed,0x6b4210e3
43,0xd6bd0583,0x19606d70,0xb0a5b5a1
44,0xb426566b,0x719de2a7,0xe64d2c89
45,0x738948d3,0x87175f50,0xbb225a23
46,0xbca9161d,0xab6aa825,0x289afd46
47,0x954b3a2c,0xb7c0f37d,0x0d992ced
48,0x17b8b13f,0x39def162,0x1220d7da
49,0x139d776c,0x17a44572,0x00000000
50,0xd048a21a,0x53e813ff,0xe4b5e294
51,0xb21709a3,0xc4a859bf,0x3746a68c
52,0xabd49b4c,0xcd4e8d0a,0x39ab8a19
53,0xcd2cf61d,0x4898a3c4,0xd64e418d
54,0x6ac018f9,0xda274bcc,0xefffffff
55,0xca826585,0xa080b4d1,0x2b831db9
56,0xe08988fd,0x45dc157e,0xe6ec7a8b
57,0x928bc1a4,0x75b1f4e0,0xc8c24d22
58,0xef115445,0x2c0a97ce,0xdb9d5b36
59,0xf03ef560,0xf49ddc6c,0xefffffff
60,0x73b35875,0x540aa5d5,0xefffffff
61,0xf07c80af,0x34ca0c08,0xe5c74968
62,0xac0da329,0x8fc95460,0x00006f64
63,0x144dfbb5,0x3a065776,0x0ed83040
64,0x2b4ea439,0x4c8de6fd,0x386515ce
65,0x62395946,0x6bbc934f,0xefffffff
66,0x9151c22f,0xe98d3225,0x3b676214
67,0xa55755ac,0x34b8ce47,0x9a9b7316
68,0x44d739d7,0x626e0712,0x67c81db8
69,0x089adc4b,0x8bd708b8,0x80000000
70,0x4bc7d610,0x15106942,0x21617526
71,0x8cb7205e,0x54311249,0xa17d54eb
72,0x41f84b52,0x3a866762,0x3d025bb2
73,0xf0b4b142,0x3b09a32a,0xec424c0e
74,0xb181053c,0x6e460a3d,0xe0479e6a
75,0x8e948ffa,0xd48e3797,0x23a5103f
76,0x5d6cb486,0x2066cb62,0x3e55663e
77,0x392f8031,0xd21ce325,0xcbd71bad
78,0xbfc62b60,0x96170176,0x1669c96f
79,0xbfc437ff,0xc5ed80ea,0x46360aa6
80,0x1dfc96d1,0x337e312c,0x11face28
81,0x0bfa7816,0xe292683f,0xaf0f3e7b
82,0x8a9c9e80,0xd1504589,0x1c7ed6a6
83,0x2229b782,0x5c8f3a58,0x3f3de85f
84,0x423b5dec,0xe9cf118f,0xec978dcb
85,0x413a6a03,0x959f41c8,0x9767ef7d
86,0xe701c4ce,0x2e8d0933,0xd60efc1f
87,0x5cc96192,0x498cbb37,0x66dd6942
88,0xaf940048,0x41221986,0xb13b6dde
89,0x933e8604,0x38f2fdc6,0x8cb4d78e
90,0x96ca9d28,0xdcebc21b,0x343a97e4
91,0xb100c6c5,0x3eb05a4c,0xb0316c27
92,0x9c197437,0x5ecbba9a,0xbb743e04
93,0xe2aeddcd,0x18c9915d,0xbc09af71
94,0x2b9dc53d,0xb3722dae,0x9f95409a
95,0x3492bcfc,0xc1928978,0xb6a7fd28
96,0x2df79ae8,0xb62658d1,0xa4a0e45a
97,0xa289fd01,0x5ed68ae7,0xc1e748bc
98,0xbab2d03e,0x166f9cf2,0x91a75e0a
99,0xef8f4520,0x92e26582,0x42fd67aa
100,0xcf0c9e7f,0xc317fc30,0x52a6f806
101,0xa966def0,0x5b5c0709,0xc5466def
102,0x767b62fc,0x5feac5aa,0xefffffff
103,0x350a4a8a,0xd427b3e5,0xc9b52f9c
104,0x40179682,0x27adb8ce,0x284dbc47
105,0xb55b22f7,0x9917608f,0x0f019447
106,0xde490cc3,0xd65d56fc,0x752dd455
107,0xf765b90f,0x2a5aba21,0xe244469c
108,0x4c2ce91b,0xc654b173,0xd30fa8e5
109,0xc5279c9a,0x55160d7f,0xdac47d30
110,0xc0721c79,0x17f901fc,0x98eb7f92
111,0x19a95ac9,0x97db8a92,0x80000000
112,0x6e3091dc,0x3597be9a,0x645152fe
